obs;age;delta;resp;error;errorc;rt;rtc;theta;block;stimtype;outliers;stimtype_bk;case;ntrials;study;experiment;stimulus;cond
1;28;1;16;2;5.08503401360544;1.33296646506005;1.33296646506005;14;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-36;27;-23;-19.9149659863946;1.89123452481999;1.89123452481999;50;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;15;21;-14;-10.9149659863946;1.60795707701573;1.60795707701573;35;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;39;161;-15;-11.9149659863946;1.38292384152737;1.38292384152737;176;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;4;142;-30;-26.9149659863946;1.05796800457892;1.05796800457892;172;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-44;18;-18;-14.9149659863946;2.15784140181904;2.15784140181904;36;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;88;127;-1;2.08503401360544;1.42463483224083;1.42463483224083;128;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-46;164;-10;-6.91496598639456;1.15796577076753;1.15796577076753;174;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-89;79;-4;-0.914965986394558;1.39955698090171;1.39955698090171;83;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;33;48;-2;1.08503401360544;1.34130190139604;1.34130190139604;50;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-55;113;8;11.0850340136054;1.74957799080175;1.74957799080175;105;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-66;158;-13;-9.91496598639456;1.61620014223945;1.61620014223945;171;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-65;33;-23;-19.9149659863946;1.49128994748753;1.49128994748753;56;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;85;158;7;10.0850340136054;1.8579081746625;1.8579081746625;151;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-87;37;-21;-17.9149659863946;0.932982041365449;0.932982041365449;58;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;6;45;-7;-3.91496598639456;1.73288508188398;1.73288508188398;52;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-15;71;4;7.08503401360544;1.7496063662411;1.7496063662411;67;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-18;77;-8;-4.91496598639456;1.25801002437856;1.25801002437856;85;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;34;52;1;4.08503401360544;2.34119534256388;2.34119534256388;51;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;61;158;-12;-8.91496598639456;2.07453956321115;2.07453956321115;170;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-51;24;-17;-13.9149659863946;1.63292987885461;1.63292987885461;41;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;31;14;4;7.08503401360544;3.59095354759438;3.59095354759438;10;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-40;55;5;8.08503401360544;2.14951381400942;2.14951381400942;50;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;5;44;-1;2.08503401360544;2.00788384423231;2.00788384423231;45;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-27;100;28;31.0850340136054;2.09117240071919;2.09117240071919;72;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-64;124;-12;-8.91496598639456;1.70791348751072;1.70791348751072;136;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-34;150;-20;-16.9149659863946;3.14932665685365;3.14932665685365;170;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-19;15;6;9.08503401360544;1.69120005167952;1.69120005167952;9;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;56;137;4;7.08503401360544;0.883014099574666;0.883014099574666;133;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
