delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus;expnum
160;332.766345224195;318.142825470542;-14.6235197536533;1.04231764900032;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-60;32.766345224195;29.9593752112808;-2.80697001291421;1.09989311500067;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
130;262.766345224195;268.329714571721;5.56336934752562;1.00896515299974;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
20;242.766345224195;233.640883149883;-9.1254620743124;0.725095560999762;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
90;152.766345224195;145.578355746839;-7.18798947735584;1.3347682019994;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-70;222.766345224195;235.472173652874;12.705828428679;0.918144187000507;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
150;72.766345224195;64.9113357068256;-7.85500951736941;1.17720232300053;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
180;252.766345224195;248.811101995652;-3.95524322854328;1.21714453400091;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-90;342.766345224195;328.196629215932;-14.5697160082635;1.16759412800093;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
50;292.766345224195;290.057418105328;-2.70892711886677;1.407832167999;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
150;142.766345224195;129.959737045379;-12.8066081788162;1.0583314760006;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-30;172.766345224195;177.444708254766;4.67836303057081;1.01681544200073;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
110;62.766345224195;60.1415661314501;-2.62477909274495;2.13354330000038;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
80;342.766345224195;345.544033263544;2.77768803934873;1.22402451500056;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-110;92.766345224195;69.3922353151726;-23.3741099090224;1.57604463700045;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
160;292.766345224195;297.260609513776;4.494264289581;1.0925214179988;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-10;302.766345224195;295.249541238676;-7.51680398551861;0.87422539399995;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
30;272.766345224195;265.195013404116;-7.57133182007942;1.41857475100005;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-140;52.766345224195;58.8630286729502;6.09668344875519;1.16213919300026;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
130;282.766345224195;265.824927946633;-16.9414172775623;1.43348976299967;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-180;102.766345224195;95.7756306831002;-6.99071454109483;2.2667308709988;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
70;32.766345224195;37.949883135954;5.18353791175898;1.53331502699984;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-10;42.766345224195;42.736581333019;-0.0297638911760387;1.15840432600089;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-180;222.766345224195;221.957895318862;-0.808449905333049;2.05871372100046;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-150;12.766345224195;10.3773309049322;-2.38901431926286;1.99137847199927;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-140;152.766345224195;151.665614691264;-1.10073053293121;1.62555021899971;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
0;152.766345224195;147.611640327994;-5.15470489620111;1.75218423400111;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
60;92.766345224195;103.404208970922;10.6378637467271;2.68638214800012;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
40;52.766345224195;83.7788083173558;31.0124630931608;1.12809499600007;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
140;272.766345224195;273.97191711014;1.20557188594512;1.1336893280004;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-90;2.76634522419505;1.37055084254955;-1.3957943816455;1.65836307399877;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-110;112.766345224195;133.787758152567;21.0214129283723;1.69120420599938;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
90;22.766345224195;36.7623513831312;13.9960061589361;1.57517999999982;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
100;282.766345224195;252.790763057248;-29.975582166947;1.49229100900084;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
170;112.766345224195;85.1411347842686;-27.6252104399265;1.89149053399888;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-60;172.766345224195;177.621555024528;4.85520980033289;1.49153215600018;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
0;172.766345224195;154.470707084086;-18.2956381401089;1.35774151000078;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
50;122.766345224195;129.217959993146;6.45161476895058;1.49365276900062;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-20;142.766345224195;157.792388318842;15.0260430946465;2.75956251199932;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-10;152.766345224195;180;27.233654775805;1.26992582400089;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-100;252.766345224195;239.868747359157;-12.8975978650385;1.57589493900014;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
