obs;theta;resp;error;block;cond;rt;trials;delta;study;experiment;stimulus;expnum
2;30.346;197.202;166.856;8;1;9;1;101.2552;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;86.0459;88.306;2.26009999999997;8;1;9;2;-55.6999;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;341.594;334.697;-6.89699999999996;8;1;9;3;104.4519;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;334.363;329.639;-4.72399999999996;8;1;9;4;7.23099999999999;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;141.7357;151.2043;9.46859999999998;8;1;9;5;-167.3727;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;207.883;204.051;-3.83199999999999;8;1;9;6;-66.1473;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;280.842;277.15;-3.69200000000001;8;1;9;7;-72.959;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;115.4312;96.8412;-18.59;8;1;9;8;165.4108;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;270.782;271.017;0.235000000000014;8;1;9;9;-155.3508;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;133.9549;143.748;9.79310000000001;8;1;9;10;136.8271;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;319.064;316.749;-2.315;8;1;9;11;174.8909;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;244.41;258.106;13.696;8;1;9;12;74.654;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;164.4493;162.869;-1.58029999999999;8;1;9;13;79.9607;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;69.681;82.1212;12.4402;8;1;9;14;94.7683;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;5.93799999999999;2.13900000000001;-3.79899999999998;8;1;9;15;63.743;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;54.239;180.594;126.355;8;1;9;16;-48.301;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;183.673;184.521;0.848000000000042;8;1;9;17;-129.434;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;232.506;257.01;24.504;8;1;9;18;-48.833;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;79.099;352.341;-86.758;9;1;9;1;153.407;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;35.939;41.42;5.481;9;1;9;2;43.16;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;202.838;210.135;7.29699999999994;9;1;9;3;-166.899;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;91.3179;91.3956;0.0777000000000214;9;1;9;4;111.5201;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;168.8826;163.9811;-4.9015;9;1;9;5;-77.5647;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;2.30000000000001;3.988;1.68799999999999;9;1;9;6;166.5826;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;241.732;256.719;14.987;9;1;9;7;120.568;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;348.693;354.021;5.32799999999995;9;1;9;8;-106.961;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;286.166;277.28;-8.88600000000002;9;1;9;9;62.527;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;222.799;185.813;-36.9859999999999;9;1;9;10;63.367;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;270.886;271.052;0.165999999999997;9;1;9;11;-48.087;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;43.095;242.305;-160.79;9;1;9;12;-132.209;Chetverikov & Jehee (2023);Experiment 1;Motion;1
