obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus;expnum
1;45;38;-7;0.999275800073519;7;80;183;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;146;148;2;0.874935499858111;7;79;184;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;91;93;2;1.19145540008321;7;55;185;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;95;94;-1;1.65026529994793;7;-4;186;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;47;66;19;0.933314999798313;7;48;187;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;42;50;8;1.50732280011289;7;5;188;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;11;11;0;1.35734400013462;7;31;189;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;115;117;2;1.15861249994487;7;76;190;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;135;140;5;0.716559400083497;7;-20;191;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;163;162;-1;1.4335811000783;7;-28;192;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;14;7;-7;0.849044800037518;7;-31;193;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;100;99;-1;2.04156020004302;7;-86;194;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;177;2;5;0.500012899981812;7;-77;195;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;91;99;8;1.04160790005699;7;86;196;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;99;88;-11;1.44868039991707;7;-8;197;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;77;80;3;1.3082860999275;7;22;198;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;35;59;24;1.26661879988387;7;42;199;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;94;80;-14;1.43377120001242;7;-59;200;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;168;157;-11;1.29907579999417;7;-74;201;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;85;82;-3;1.58228310011327;7;83;202;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;139;127;-12;1.3832588000223;7;-54;203;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;79;87;8;0.783804300008342;7;60;204;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;130;124;-6;1.40029010013677;7;-51;205;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;75;70;-5;1.10031690006144;7;55;206;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;159;168;9;1.15861049992964;7;-84;207;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;65;75;10;1.23328629997559;7;-86;208;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;44;52;8;1.07495310017839;7;21;209;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;71;61;-10;0.458699999842793;7;-27;210;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;4;164;-20;2.81634810008109;8;67;211;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;173;175;2;1.37382370000705;8;11;212;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;72;61;-11;0.650259200017899;8;-79;213;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;4;171;-13;1.04930289997719;8;68;214;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
