obs;theta;resp;error;rt;block;delta;study;experiment;stimulus;expnum
1;177;170;-7;1.35304808616638;2;-75;Lau & Maus (2019);Experiment 1;Orientation;1
1;121;130;9;0.883157968521118;2;56;Lau & Maus (2019);Experiment 1;Orientation;1
1;54;32;-22;1.26297497749329;2;67;Lau & Maus (2019);Experiment 1;Orientation;1
1;102;102;0;0.802886962890625;2;-48;Lau & Maus (2019);Experiment 1;Orientation;1
1;19;18;-1;1.1428530216217;2;83;Lau & Maus (2019);Experiment 1;Orientation;1
1;133;158;25;0.992836952209473;2;66;Lau & Maus (2019);Experiment 1;Orientation;1
1;95;100;5;1.47328305244446;2;38;Lau & Maus (2019);Experiment 1;Orientation;1
1;18;13;-5;1.16359305381775;2;77;Lau & Maus (2019);Experiment 1;Orientation;1
1;102;107;5;0.913146018981934;2;-84;Lau & Maus (2019);Experiment 1;Orientation;1
1;138;138;0;0.953046083450317;2;-36;Lau & Maus (2019);Experiment 1;Orientation;1
1;56;46;-10;1.25325393676758;2;82;Lau & Maus (2019);Experiment 1;Orientation;1
1;4;3;-1;1.42292523384094;2;52;Lau & Maus (2019);Experiment 1;Orientation;1
1;130;149;19;1.15336203575134;2;54;Lau & Maus (2019);Experiment 1;Orientation;1
1;63;40;-23;1.2228901386261;2;67;Lau & Maus (2019);Experiment 1;Orientation;1
1;25;18;-7;1.9033088684082;2;38;Lau & Maus (2019);Experiment 1;Orientation;1
1;116;108;-8;0.923219919204712;2;89;Lau & Maus (2019);Experiment 1;Orientation;1
1;67;54;-13;1.14282083511353;2;49;Lau & Maus (2019);Experiment 1;Orientation;1
1;80;73;-7;1.72311615943909;2;-13;Lau & Maus (2019);Experiment 1;Orientation;1
1;150;158;8;1.5729238986969;2;-70;Lau & Maus (2019);Experiment 1;Orientation;1
1;84;78;-6;1.62324595451355;2;66;Lau & Maus (2019);Experiment 1;Orientation;1
1;52;53;1;1.84279799461365;2;32;Lau & Maus (2019);Experiment 1;Orientation;1
1;10;5;-5;1.12295293807983;2;42;Lau & Maus (2019);Experiment 1;Orientation;1
1;105;109;4;1.70324492454529;2;85;Lau & Maus (2019);Experiment 1;Orientation;1
1;170;165;-5;1.48307704925537;2;-65;Lau & Maus (2019);Experiment 1;Orientation;1
1;116;105;-11;2.15320420265198;2;54;Lau & Maus (2019);Experiment 1;Orientation;1
1;121;109;-12;1.52296113967896;2;-5;Lau & Maus (2019);Experiment 1;Orientation;1
1;119;113;-6;1.56281185150146;2;2;Lau & Maus (2019);Experiment 1;Orientation;1
1;24;10;-14;1.0828218460083;2;-85;Lau & Maus (2019);Experiment 1;Orientation;1
1;161;163;2;1.26290798187256;2;43;Lau & Maus (2019);Experiment 1;Orientation;1
1;7;8;1;1.34309577941895;2;-26;Lau & Maus (2019);Experiment 1;Orientation;1
1;167;171;4;1.52362203598022;2;20;Lau & Maus (2019);Experiment 1;Orientation;1
1;130;139;9;1.22297811508179;2;37;Lau & Maus (2019);Experiment 1;Orientation;1
