obs;theta;resp;error;delta;block;rt;cond;study;experiment;stimulus;expnum
1;60;62;2;30;3;2.90005037766241;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;120;-45;75;3;2.66668833447875;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;126.142857142857;6.14285714285714;45;3;3.0667029317392;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;156;-9;-45;3;2.73337159412768;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;131.142857142857;-3.85714285714286;30;3;4.55011465408279;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;132.714285714286;-2.28571428571428;0;3;2.98337337601879;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;82.8571428571429;-7.14285714285714;45;3;3.716734706446;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;50.4285714285714;-9.57142857142857;30;3;2.71673271072541;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;21.7142857142857;-8.28571428571428;30;3;2.39999663578601;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;131;26;-75;3;2.63323808049427;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;121.571428571429;16.5714285714286;0;3;1.8833370824359;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;39.1428571428571;9.14285714285714;75;3;4.01675862656884;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;26;-4;0;3;1.78331504399102;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;44.1428571428571;-30.8571428571429;-45;3;1.88332482301485;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;38.5714285714286;-21.4285714285714;NaN;4;2.4166814207365;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;135;-30;75;4;2.7000222665265;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;79;-11;75;4;3.40006163922044;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;85.2857142857143;-4.71428571428571;0;4;2.65001980038869;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;134.571428571429;-30.4285714285714;-75;4;2.81670656680217;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;20.5714285714286;-9.42857142857143;-45;4;2.80004544538497;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;6.28571428571429;6.28571428571429;30;4;2.03331625567625;1;Cicchini et al. (2018);Experiment 2;Orientation;1
