obs;theta;resp;cond;rt;delta;error;study;experiment;stimulus;expnum
1;11;27.75;4;9;54;16.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;94;107.5;0.5;9;-83;13.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;61;54.25;4;9;33;-6.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;32;53.5;0.5;9;29;21.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;38;33.25;0.5;9;-6;-4.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;163;159.25;4;9;55;-3.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;122;130.5;4;9;41;8.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;85;67;4;9;37;-18;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;165;149.5;4;9;-80;-15.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;19;34;0.5;9;-34;15;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;135;136.75;0.5;9;64;1.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;133;122.5;4;9;2;-10.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;102;71;0.5;9;31;-31;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;34;28.75;0.5;9;68;-5.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;108;118;0.5;9;-74;10;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;54;40.75;4;9;54;-13.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;25;36;4;9;29;11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;39;23.5;4;9;-14;-15.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;162;147.75;4;9;57;-14.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;13;33;0.5;9;-31;20;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;44;43;4;9;-31;-1;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;10;24;0.5;9;34;14;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;80;71;4;9;-70;-9;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;3;11.25;4;9;77;8.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;162;161;0.5;9;21;-1;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;36;29;4;9;-54;-7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;17;22;4;9;19;5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;56;57.5;4;9;-39;1.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;83;69.5;0.5;9;-27;-13.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;19;31.25;0.5;9;64;12.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;180;15;4;9;19;15;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;60;54;4;9;-60;-6;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;54;57;0.5;9;6;3;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;12;20;4;9;42;8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;54;72;0.5;9;-42;18;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;9;12;4;9;45;3;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;91;107;0.5;9;-82;16;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;138;130;0.5;9;-47;-8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;114;121;4;9;24;7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;17;25;0.5;9;-83;8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;15;20;4;9;2;5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;140;133;4;9;55;-7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;163;137.5;4;9;-23;-25.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;97;80;0.5;9;66;-17;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;20;39.25;4;9;77;19.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;149;142.5;4;9;51;-6.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;61;68;4;9;88;7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;53;68;0.5;9;8;15;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;135;141;4;9;-82;6;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;2;12;4;9;-47;10;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;9;10.5;0.5;9;-7;1.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;121;126.25;4;9;68;5.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;109;113.75;0.5;9;12;4.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;95;100.25;4;9;14;5.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;132;142.5;0.5;9;-37;10.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;128;147;4;9;4;19;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;141;138.25;4;9;-13;-2.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;52;34;4;9;89;-18;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;125;127.5;4;9;-73;2.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;101;107.5;4;9;24;6.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;72;61;4;9;29;-11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;12;11.25;0.5;9;60;-0.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;141;148.5;4;9;51;7.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;61;61.25;4;9;80;0.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;110;110.5;0.5;9;-49;0.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;134;152;0.5;9;-24;18;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;19;23;0.5;9;-65;4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;24;27.5;4;9;-5;3.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;99;100.25;0.5;9;-75;1.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;88;77;4;9;11;-11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;161;145;0.5;9;-73;-16;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;144;155.75;0.5;9;17;11.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;133;134;0.5;9;11;1;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;10;18.5;0.5;9;-57;8.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;14;23.25;0.5;9;-4;9.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;16;23.75;0.5;9;-2;7.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;144;142.25;0.5;9;52;-1.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;170;159.25;4;9;-26;-10.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;124;122;0.5;9;46;-2;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;24;31;4;9;-80;7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;131;136.5;0.5;9;73;5.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;20;26.25;4;9;-69;6.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;22;23.75;4;9;-2;1.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;116;112.5;0.5;9;86;-3.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;60;63;4;9;56;3;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;118;114;0.5;9;-58;-4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;135;123;0.5;9;-17;-12;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;105;115;4;9;30;10;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;134;120;4;9;-29;-14;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;43;40;4;9;-89;-3;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;133;123;4;9;-90;-10;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;175;166;4;9;-42;-9;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;157;150;0.5;9;18;-7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;16;24.25;0.5;9;-39;8.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;66;48;4;9;-50;-18;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;67;54;4;9;-1;-13;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;124;122;4;9;-57;-2;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;108;109;0.5;9;16;1;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;143;140;4;9;-35;-3;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;67;60;4;9;76;-7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;38;58;0.5;9;29;20;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;16;23;4;9;22;7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;139;124.75;0.5;9;57;-14.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;38;44.5;0.5;9;-79;6.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;70;63;0.5;9;-32;-7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;100;116;0.5;9;-30;16;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;42;42.25;4;9;58;0.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;116;101;0.5;9;-74;-15;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;88;98.5;0.5;9;28;10.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;28;33;0.5;9;60;5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;141;145;4;9;67;4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;19;27;4;9;-58;8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;53;32;0.5;9;-34;-21;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;43;33.5;0.5;9;10;-9.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;96;113;0.5;9;-53;17;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;17;30.25;4;9;79;13.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;73;73;4;9;-56;0;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;19;30;0.5;9;54;11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;21;26.5;4;9;-2;5.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;142;150;0.5;9;59;8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;53;45.5;4;9;89;-7.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;109;112;0.5;9;-56;3;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;174;165.25;4;9;-65;-8.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;78;72.5;4;9;-84;-5.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;126;130.5;4;9;-48;4.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;137;131;4;9;-11;-6;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;78;74;4;9;59;-4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;118;116.5;0.5;9;-40;-1.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;20;27.75;4;9;-82;7.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;169;151;0.5;9;31;-18;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;34;36;4;9;-45;2;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;48;52;0.5;9;-14;4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;144;134.25;0.5;9;84;-9.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;88;89;0.5;9;56;1;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;139;147;4;9;-51;8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;72;63.25;4;9;67;-8.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;50;40.25;0.5;9;22;-9.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;7;18;4;9;43;11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;122;132;0.5;9;65;10;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;78;67;4;9;44;-11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;82;77.5;4;9;-4;-4.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;110;118;4;9;-28;8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;11;26;0.5;9;-81;15;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;57;50;4;9;-46;-7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;140;150;4;9;-83;10;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;126;134;0.5;9;14;8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;23;25;0.5;9;-77;2;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;24;37.25;4;9;-1;13.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;17;26.75;0.5;9;7;9.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;2;11.75;0.5;9;15;9.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;77;73;4;9;-75;-4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;119;118.5;0.5;9;-42;-0.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;131;144;4;9;-12;13;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;96;109;0.5;9;35;13;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;20;31;0.5;9;76;11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;114;120;4;9;86;6;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;23;26.75;0.5;9;-89;3.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;25;28.25;4;9;-2;3.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;18;24;0.5;9;7;6;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;26;16.75;4;9;-8;-9.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;31;29;4;9;-5;-2;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;36;32.75;4;9;-5;-3.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;58;73;4;9;-22;15;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;57;69;0.5;9;1;12;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;40;42.25;0.5;9;17;2.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;46;50;4;9;-6;4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;161;138.5;4;9;65;-22.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;127;137.25;4;9;34;10.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;101;107;4;9;26;6;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;34;53.25;4;9;67;19.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;39;51.75;4;9;-5;12.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;14;38.25;0.5;9;25;24.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;165;149.75;0.5;9;29;-15.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;128;117;0.5;9;37;-11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;101;107;0.5;9;27;6;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;57;38.25;4;9;44;-18.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;30;39.5;4;9;27;9.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;113;118;4;9;-83;5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;178;150;4;9;-65;-28;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;31;34;0.5;9;-33;3;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;47;40;0.5;9;-16;-7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;72;71;4;9;-25;-1;Gallagher & Benton (2022);Experiment 1;Orientation;1
