true_sid,run,trial,mdir,resp,err
P02,17,15,167.86,158.1,-9.76400000000001
P02,17,16,313.4,313.38,-0.100000000000023
P02,17,17,45.66,44.666,-0.98599999999999
P02,17,18,341.6,340.9,-0.78000000000003
P02,18,1,264.8,267.66,2.94
P02,18,2,196.38,188.582,-7.78800000000001
P02,18,3,349.8,349.6,-0.199999999999989
P02,18,4,27.3,13.723,-13.581
P02,18,5,141.64,165.778,24.132
P02,18,6,283.8,277.46,-6.30000000000001
P02,18,7,214,211.38,-2.64000000000002
P02,18,8,138.78,142.438,3.66
P02,18,9,66.1,72.752,6.65199999999999
P02,18,10,305.4,305.44,0.0400000000000205
P02,18,11,223.6,224.78,1.12
P02,18,12,44.64,53.228,8.58799999999999
P02,18,13,173.32,172.766,-0.550000000000011
P02,18,14,113.06,98.478,-14.578
P02,18,15,89.26,86.654,-2.602
P02,18,16,259.2,266.76,7.53999999999996
P02,18,17,338.2,348.18,10.08
P02,18,18,9.76,7.5214,-2.238
P02,19,1,338.2,348.38,10.24
P02,19,2,282.4,286.64,4.30000000000001
P02,19,3,178.04,180.628,2.57799999999997
P02,19,4,10.706,10.4052,-0.299800000000005
P02,19,5,45.34,48.264,2.92000000000002
P02,19,6,206,216.1,10.02
P02,19,7,98.98,101.972,2.982
P02,19,8,156.22,145.408,-10.804
P02,19,9,358.2,357.54,-0.599999999999966
P02,19,10,75.58,80.384,4.804
P02,19,11,128.66,132.708,4.05799999999999
P02,19,12,239.4,233.08,-6.31999999999999
P02,19,13,111.3,117.018,5.71800000000002
P02,19,14,183.34,181.932,-1.40400000000002
P02,19,15,275.2,270.7,-4.44
P02,19,16,302,300.02,-1.92000000000002
P02,19,17,251.4,257.42,5.96000000000001
P02,19,18,25.96,21.958,-4.00200000000001
P02,20,1,25.18,24.304,-0.872000000000014
P02,20,2,70.36,66.702,-3.66800000000001
P02,20,3,87.16,82.796,-4.358
P02,20,4,315.4,316.32,0.819999999999993
P02,20,5,209.2,211.74,2.56
P02,20,6,330.4,332.16,1.74000000000001
P02,20,7,11.578,6.9996,-4.57740000000001
P02,20,8,271,267.34,-3.58000000000004
P02,20,9,127.96,112.254,-15.712
P02,20,10,117.9,124.86,6.96600000000001
P02,20,11,42.14,39.738,-2.40199999999999
P02,20,12,293.6,295.3,1.60000000000002
P02,20,13,223.6,226.74,3.06
P02,20,14,148.26,149.282,1.03
P02,20,15,169,170.192,1.184
P02,20,16,254.4,257.48,3.10000000000002
P02,20,17,189.34,185.67,-3.66200000000001
P02,20,18,340.8,343.4,2.63999999999999
P02,21,1,97.82,93.508,-4.31400000000002
P02,21,2,50.98,60.664,9.67599999999999
P02,21,3,284.4,290.28,5.89999999999998
P02,21,4,219.8,224.86,5.16000000000003
P02,21,5,229,228.68,-0.359999999999985
P02,21,6,351.8,344.82,-7.04000000000002
P02,21,7,139.98,141.582,1.59999999999999
P02,21,8,334.6,325.96,-8.72000000000003
P02,21,9,17.272,12.7312,-4.53999999999999
P02,21,10,117.84,120.63,2.786
P02,21,11,143.22,158.018,14.788
P02,21,12,262.8,259.76,-3.04000000000002
P02,21,13,199.28,197.768,-1.52000000000001
P02,21,14,257.6,264.66,7.16000000000003
P02,21,15,31.54,20.524,-11.018
P02,21,16,160.02,161.39,1.36999999999998
P02,21,17,306.2,312.94,6.80000000000001
P02,21,18,79,78.632,-0.373999999999995
P02,22,1,218.4,224.92,6.51999999999998
P02,22,2,44.88,45.434,0.560000000000002
P02,22,3,274.8,271.24,-3.48000000000002
P02,22,4,88,87.658,-0.337999999999994
P02,22,5,189.86,185.848,-4.018
P02,22,6,131.32,130.486,-0.844000000000023
P02,22,7,5.018,5.575,0.556600000000003
P02,22,8,22.1,14.1796,-7.9204
P02,22,9,281.2,279.34,-1.80000000000001
P02,22,10,78.84,77.698,-1.14800000000002
P02,22,11,110.36,111.066,0.711999999999989
P02,22,12,170.84,165.342,-5.5
P02,22,13,316.4,318.88,2.39999999999998
P02,22,14,324,334.24,10.26
P02,22,15,242.4,255.6,13.18
P02,22,16,234.4,249.62,15.16
P02,22,17,144.36,149.162,4.79599999999999
P02,22,18,348.4,344.04,-4.25999999999999
P02,23,1,14.6,30.576,15.9762
P02,23,2,355.4,349.82,-5.66000000000003
P02,23,3,136.46,143.442,6.976
P02,23,4,184.98,190.938,5.96199999999999
P02,23,5,24.54,19.1054,-5.43459999999999
P02,23,6,99.48,100.912,1.43200000000002
P02,23,7,264.8,266.56,1.68000000000001
P02,23,8,140.38,134.956,-5.43200000000002
P02,23,9,250.8,251.94,1.22
P02,23,10,333,341.9,8.88
P02,23,11,225.6,239.02,13.44
P02,23,12,316.4,309.7,-6.74000000000001
P02,23,13,292,287.68,-4.30000000000001
P02,23,14,101,103.9,2.90800000000002
P02,23,15,173.52,182.146,8.62599999999998
P02,23,16,42.74,38.764,-3.976
P02,23,17,62.22,60.54,-1.68799999999999
P02,23,18,205.4,202.72,-2.66
P02,24,1,237.6,242.68,5.06
P02,24,2,11.738,12.1318,0.393799999999999
P02,24,3,246.6,250.92,4.38
P02,24,4,299.4,288.34,-11.16
P02,24,5,312.8,307.9,-4.88
P02,24,6,44.66,48.722,4.06
P02,24,7,64.54,66.71,2.18000000000001
P02,24,8,183.74,181.672,-2.06200000000001
P02,24,9,20.6,14.8168,-5.7852
P02,24,10,175.26,168.406,-6.858
P02,24,11,359,354.82,-4.22000000000003
P02,24,12,270.6,270.24,-0.259999999999991
P02,24,13,332.6,332.2,-0.420000000000016
P02,24,14,87.8,88.238,0.439999999999998
P02,24,15,147.88,155.086,7.19800000000001
P02,24,16,216.4,220.66,4.34
P02,24,17,103.68,97.668,-6.006
P02,24,18,127.5,130.27,2.762
P02,25,1,214.4,213.26,-1.04000000000002
P02,25,2,259.2,261.26,2.12
P02,25,3,303.4,302.44,-1.04000000000002
P02,25,4,186.18,182.786,-3.40199999999999
P02,25,5,339,344.66,5.66000000000003
P02,25,6,341.6,353.1,11.54
P02,25,7,271.6,269.18,-2.5
P02,25,8,137.08,138.962,1.88
P02,25,9,235.4,247.54,12.18
P02,25,10,71.44,68.622,-2.82599999999999
P02,25,11,94.32,94.16,-0.150000000000006
P02,25,12,149.34,148.838,-0.510000000000019
P02,25,13,295,294.22,-0.799999999999955
P02,25,14,19.474,18.2836,-1.191
P02,25,15,176.7,176.258,-0.447999999999979
P02,25,16,21.24,12.1784,-9.05359999999999
P02,25,17,115.96,113.24,-2.714
P02,25,18,46.9,42.914,-3.99000000000001
P02,26,1,34.52,27.404,-7.114
P02,26,2,184.16,185.67,1.512
P02,26,3,72.22,75.798,3.578
P02,26,4,3.258,3.1252,-0.133399999999995
P02,26,5,86.68,83.278,-3.39600000000002
P02,26,6,154.72,170.628,15.916
P02,26,7,358.8,353.54,-5.19999999999999
P02,26,8,115.66,110.23,-5.42000000000002
P02,26,9,283.4,283.8,0.420000000000016
P02,26,10,273.8,272.46,-1.36000000000001
P02,26,11,126.24,125.16,-1.07600000000002
P02,26,12,225.6,226.36,0.760000000000019
P02,26,13,205.6,201.06,-4.52000000000001
P02,26,14,339,344.58,5.56
P02,26,15,313.4,313.76,0.399999999999977
P02,26,16,251.8,253.28,1.52000000000001
P02,26,17,177.16,177.15,-0.00799999999998136
P02,26,18,40.54,60.756,20.208
P02,27,1,158.96,153.198,-5.76999999999998
P02,27,2,192.68,191.712,-0.966000000000008
P02,27,3,34.86,27.728,-7.142
P02,27,4,336.8,323.52,-13.28
P02,27,5,356.6,352.16,-4.39999999999998
P02,27,6,253.8,256.08,2.35999999999999
P02,27,7,208.2,196.288,-11.932
P02,27,8,314.8,306.88,-7.92000000000002
P02,27,9,16.492,8.9042,-7.5882
P02,27,10,109.6,101.418,-8.18599999999998
P02,27,11,160.02,152.142,-7.87000000000001
P02,27,12,75.76,74.904,-0.864000000000004
P02,27,13,137.44,138.652,1.202
P02,27,14,90.12,89.07,-1.04400000000001
P02,27,15,46.54,45.874,-0.662000000000006
P02,27,16,236.2,246.4,10.22
P02,27,17,268.8,272.78,3.97999999999996
P02,27,18,292.2,287.1,-5.12000000000001
P02,28,1,88.36,82.926,-5.434
P02,28,2,224.8,225.66,0.939999999999998
P02,28,3,59.86,45.694,-14.168
P02,28,4,344.2,327.38,-16.86
P02,28,5,116.62,121.522,4.90600000000001
P02,28,6,64.04,71.254,7.22
P02,28,7,195.56,197.95,2.38999999999999
P02,28,8,315.6,311.14,-4.46000000000004
P02,28,9,206,211.18,5.14000000000002
P02,28,10,32.6,30.786,-1.80799999999999
P02,28,11,264.2,263.7,-0.579999999999984
P02,28,12,294.8,289.36,-5.53999999999996
P02,28,13,149.46,148.098,-1.36999999999998
P02,28,14,18.008,22.036,4.02840000000001
P02,28,15,333,329.38,-3.66000000000003
P02,28,16,175.58,155.858,-19.73
P02,28,17,130.24,134.7,4.44999999999999
P02,28,18,250.6,257.2,6.56
P02,29,1,346.8,342.66,-4.11999999999995
P02,29,2,138.84,142.198,3.35400000000001
P02,29,3,157.38,154.832,-2.55799999999999
P02,29,4,232.2,240.94,8.80000000000001
P02,29,5,48.36,54.818,6.45400000000001
P02,29,6,169.06,160.944,-8.10600000000002
P02,29,7,303.4,288.46,-14.96
P02,29,8,336.8,336.66,-0.0799999999999841
P02,29,9,186.06,191.642,5.58799999999999
P02,29,10,26.16,25.436,-0.722000000000008
P02,29,11,217.4,212.68,-4.63999999999999
P02,29,12,117.82,118.166,0.353999999999985
P02,29,13,260,260.14,0.139999999999986
P02,29,14,249,259.64,10.64
P02,29,15,91.56,85.106,-6.452
P02,29,16,280.6,277.86,-2.77999999999997
P02,29,17,12.378,5.2664,-7.1114
P02,29,18,73.56,75.71,2.15799999999999
P02,30,1,145.54,155.282,9.732
P02,30,2,254.8,258.7,3.85999999999999
P02,30,3,215.2,225.06,9.80000000000001
P02,30,4,19.968,19.2954,-0.67179999999999
P02,30,5,299.2,286.08,-13.04
P02,30,6,197.44,205.76,8.32999999999998
P02,30,7,332.6,323,-9.60000000000002
P02,30,8,45.5,60.568,15.072
P02,30,9,300.8,288.1,-12.72
P02,30,10,220.4,239.14,18.7
P02,30,11,91.36,89.104,-2.25999999999999
P02,30,12,103.14,100.542,-2.596
P02,30,13,178.24,175.638,-2.60999999999999
P02,30,14,34.06,28.958,-5.112
P02,30,15,342.2,340.1,-2.09999999999997
P02,30,16,260.4,256.98,-3.41999999999996
P02,30,17,68.46,71.102,2.63400000000001
P02,30,18,131.16,140.59,9.43200000000002
P02,31,1,49.74,59.992,10.262
P02,31,2,340.2,337.02,-3.24000000000001
P02,31,3,270.8,265.14,-5.63999999999999
P02,31,4,291.8,279.58,-12.16
P02,31,5,105.62,99.692,-5.928
P02,31,6,174.6,175.896,1.29999999999998
P02,31,7,142.4,154.644,12.236
P02,31,8,210.2,210,-0.219999999999999
P02,31,9,224.6,221.54,-3.12
P02,31,10,32.88,38.066,5.18000000000001
P02,31,11,127.72,127.072,-0.649999999999977
P02,31,12,198.66,209.42,10.768
P02,31,13,324.8,323.46,-1.26000000000005
P02,31,14,253.8,257.3,3.5
P02,31,15,60.92,68.304,7.38200000000001
P02,31,16,307.8,294.18,-13.62
P02,31,17,1.1754,354.78,-6.39542000000006
P02,31,18,84.02,86.712,2.69
P02,32,1,268.4,267.48,-0.95999999999998
P02,32,2,87.04,84.85,-2.19200000000001
P02,32,3,256.6,260.92,4.28000000000003
P02,32,4,137.6,140.822,3.22200000000001
P02,32,5,320.4,326.64,6.31999999999999
P02,32,6,46.32,55.474,9.15799999999999
P02,32,7,155.84,153.298,-2.55199999999999
P02,32,8,11.93,10.83,-1.09899999999999
P02,32,9,183.34,190.53,7.19399999999999
P02,32,10,27.88,22.212,-5.66
P02,32,11,61.3,69.318,8.012
P02,32,12,285.2,280.9,-4.30000000000001
P02,32,13,310.6,309.38,-1.12
P02,32,14,348.2,345.34,-2.94
P02,32,15,213.2,226.7,13.58
P02,32,16,179.4,172.538,-6.86399999999998
P02,32,17,118.98,107.612,-11.366
P02,32,18,234.6,252.7,18.02
P02,33,1,112.4,101.732,-10.666
P02,33,2,79.56,84.546,4.99200000000002
P02,33,3,356,345.96,-10.06
P02,33,4,213.8,216.22,2.52000000000001
P02,33,5,230.2,228.18,-2.06
P02,33,6,178.6,174.07,-4.54000000000002
P02,33,7,290.2,275.58,-14.52
P02,33,8,254.8,261.54,6.76000000000002
P02,33,9,85.82,85.9,0.0800000000000125
P02,33,10,19.62,19.2448,-0.376000000000005
P02,33,11,267.4,263.88,-3.44
P02,33,12,40.64,40.668,0.0360000000000014
P02,33,13,34.3,21.426,-12.876
P02,33,14,187.54,191.888,4.34399999999999
P02,33,15,133.82,135.784,1.96799999999999
P02,33,16,301.6,294.86,-6.77999999999997
P02,33,17,155.56,161.74,6.184
P02,33,18,335.6,343.7,8.06
P02,34,1,39.92,39.708,-0.218000000000018
P02,34,2,245.6,259.28,13.62
P02,34,3,188.62,186.988,-1.63400000000001
P02,34,4,239,249.56,10.62
P02,34,5,103.98,98.746,-5.232
P02,34,6,298.6,293.64,-5.02000000000004
P02,34,7,200.6,194.804,-5.83599999999998
P02,34,8,127.72,140.434,12.724
P02,34,9,339.4,340.8,1.48000000000002
P02,34,10,66.34,80.236,13.898
P02,34,11,141.02,150.308,9.28799999999998
P02,34,12,95.28,92.926,-2.358
P02,34,13,343,345.16,2.10000000000002
P02,34,14,270.8,265.28,-5.44000000000006
P02,34,15,4.382,359.3,-5.08279999999991
P02,34,16,304.2,302.94,-1.18000000000001
P02,34,17,48.46,51.438,2.96800000000002
P02,34,18,166.52,164.42,-2.096
P02,35,1,279.2,271.24,-7.95999999999998
P02,35,2,329,342.3,13.38
P02,35,3,204.2,202,-2.25999999999999
P02,35,4,98.18,93.476,-4.696
P02,35,5,34.78,32.478,-2.29599999999999
P02,35,6,118.2,126.168,7.97399999999999
P02,35,7,305.6,302.04,-3.65999999999997
P02,35,8,179.74,176.222,-3.52599999999998
P02,35,9,126.42,135.886,9.458
P02,35,10,199.46,198.242,-1.226
P02,35,11,340.6,345.2,4.53999999999996
P02,35,12,6.892,2.197,-4.69479999999999
P02,35,13,257.2,262.58,5.33999999999998
P02,35,14,66.6,78.126,11.536
P02,35,15,292.2,283.22,-8.89999999999998
P02,35,16,42.94,25.888,-17.044
P02,35,17,145.32,161.372,16.046
P02,35,18,222,226.74,4.70000000000002
P02,36,1,199.88,198.474,-1.416
P02,36,2,46.66,53.184,6.51400000000001
