delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus
-50;328.859922318917;305.923208125252;-22.9367141936655;1.02118392800185;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-120;88.8599223189171;95.3965946916616;6.53667237274455;1.78116607300035;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-150;238.859922318917;234.226453620173;-4.63346869874368;1.39066465200085;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-40;278.859922318917;292.609776640723;13.7498543218059;1.90911409900218;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-70;348.859922318917;330.939578036905;-17.9203442820123;1.30874675999803;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
140;208.859922318917;205.746237682407;-3.1136846365103;1.30139759300073;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-80;288.859922318917;286.630099276184;-2.22982304273359;1.61703242799922;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
100;188.859922318917;205.119388522282;16.2594662033652;1.71886806700059;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
0;188.859922318917;200.121355848656;11.2614335297389;1.25845690000278;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
30;158.859922318917;177.732757174035;18.872834855118;1.52496927299944;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
140;18.8599223189171;15.625074235621;-3.23484808329608;1.60496258900093;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
60;318.859922318917;317.687693156386;-1.17222916253149;1.14236506599991;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
90;228.859922318917;224.491936483678;-4.3679858352391;1.36710776999826;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
40;188.859922318917;192.349977079837;3.49005476091983;1.27541510999799;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-80;268.859922318917;269.426555068908;0.566632749990788;2.37580281999908;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
20;248.859922318917;252.454009849212;3.59408753029493;1.42478843199933;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-180;68.8599223189171;73.2711503744955;4.41122805557846;1.2584096190003;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
20;48.8599223189171;51.6483451109712;2.78842279205414;1.02515743999902;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
90;318.859922318917;318.098500675881;-0.761421643036158;1.11588990299788;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-100;58.8599223189171;64.1684363212275;5.30851400231045;1.83702291200098;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-10;68.8599223189171;69.3262078857771;0.46628556685998;1.5124096920008;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-40;108.859922318917;116.801696418781;7.94177409986369;2.03033269799926;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
100;8.85992231891709;1.00834962426109;-7.851572694656;0.839474340002198;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
170;198.859922318917;189.89407266398;-8.9658496549375;2.34173708699745;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
50;148.859922318917;136.833666442162;-12.0262558767552;1.77523003700117;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
140;8.85992231891709;1.47455458936266;-7.38536772955443;1.89193474700005;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-10;18.8599223189171;20.26426816616;1.40434584724293;1.94332480900266;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
80;298.859922318917;298.171460299027;-0.688462019889869;1.8179149710013;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
100;198.859922318917;203.349637351851;4.48971503293362;1.5078719109988;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-160;358.859922318917;1.66494128658331;2.80501896766623;1.17522117800036;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-130;128.859922318917;122.719905556211;-6.14001676270648;1.91274604499995;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
50;78.8599223189171;90.8394110352712;11.9794887163541;1.92244064999977;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-170;248.859922318917;262.370640109172;13.5107177902552;3.63435154800027;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
130;118.859922318917;99.9291676219858;-18.9307546969313;2.5588736369973;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
20;98.8599223189171;96.9768543859577;-1.88306793295943;1.55772547800007;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
0;27.1581713955972;19.9347540380163;-7.2234173575809;2.34196762300053;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
0;27.1581713955972;35.0674689228388;7.90929752724162;1.49219725399962;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
110;277.158171395597;271.01239035768;-6.14578103791752;1.80000754700086;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-100;17.1581713955972;10.3178058469514;-6.8403655486458;1.25408053700085;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
160;217.158171395597;220.441899969859;3.28372857426214;1.97183886100174;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-100;317.158171395597;312.538837526599;-4.61933386899796;1.50005120799688;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
