subject,session,block,section,trial,isi_raw_sec,orientation,contrast_db,contrast,response,rt,target_on,mask_on,isi_on,target_onset,mask_onset,isi_onset,target_fliptime,mask_fliptime,isi_fliptime,target_missed,mask_missed,isi_missed,target_beam,mask_beam,isi_beam,seed,date,isi_sec
13,1,1,1,24,0.34,43,-20,0.1,-127.359593238973,0.956732114544138,945141.98002879,945142.180163777,945142.950659222,945141.98002879,945142.180163777,945142.950659222,945141.980089764,945142.180219015,945142.950718083,0.000223830924369395,-4.87323850393295e-05,0.760012008715421,0,0,0,12312019,20-Feb-2020 14:21:24,0.335007887303946
13,1,1,1,25,0.4,178,-20,0.1,-0.98776039963981,1.24369989125989,945143.350943986,945143.551033092,945144.601726755,945143.350943986,945143.551033092,945144.601726755,945143.351011298,945143.551086217,945144.601794369,0.000416536931879818,-9.46132931858301e-05,1.0402102265507,0,0,0,12312019,20-Feb-2020 14:21:24,0.395007887303946
13,1,1,1,26,0.46,110,-20,0.1,-66.8014094863518,0.904575089225546,945145.061984009,945145.262145558,945145.982623783,945145.061984009,945145.262145558,945145.982623783,945145.062045284,945145.262195967,945145.982681738,0.000483674230054021,-2.21696682274342e-05,0.709994788165204,0,0,0,12312019,20-Feb-2020 14:21:24,0.455007887303946
13,1,1,1,27,0.5,17,-20,0.1,34.0888716157166,1.29558646015357,945146.482932121,945146.683061071,945147.793754994,945146.482932121,945146.683061071,945147.793754994,945146.482992793,945146.683120535,945147.793815665,0.000597857520915568,-5.47692179679871e-05,1.10021048609633,0,0,0,12312019,20-Feb-2020 14:21:24,0.495007887303946
13,1,1,1,28,0.42,37,-20,0.1,48.5967170776285,1.08440049388446,945148.214042963,945148.414143539,945149.314748112,945148.214042963,945148.414143539,945149.314748112,945148.214103937,945148.414199381,945149.314816631,0.000451291911303997,-8.31431243568659e-05,0.890121135977097,0,0,0,12312019,20-Feb-2020 14:21:24,0.415007887303946
13,1,1,1,29,0.4,133,-20,0.1,-52.6404067610268,0.81534894159995,945149.715005709,945149.915070365,945150.545537334,945149.715005709,945149.915070365,945150.545537334,945149.715068796,945149.915124094,945150.545597402,0.00038937060162425,-0.000119063071906567,0.619983532233164,0,0,0,12312019,20-Feb-2020 14:21:24,0.395007887303946
13,1,1,1,30,0.34,74,-20,0.1,82.8749836510982,0.952563585247844,945150.885748791,945151.085857517,945151.846357246,945150.885748791,945151.085857517,945151.846357246,945150.885809765,945151.08591185,945151.846425765,0.000248582451604307,-7.49931205064058e-05,0.750016291858628,0,0,0,12312019,20-Feb-2020 14:21:24,0.335007887303946
13,1,1,1,31,0.46,58,-20,0.1,58.7069610040798,1.05758215032984,945152.306636232,945152.506753712,945153.377315594,945152.306636232,945152.506753712,945153.377315594,945152.306728296,945152.506808045,945153.377374454,0.000505407340824604,-6.62396196275949e-05,0.860078445519321,0,0,0,12312019,20-Feb-2020 14:21:24,0.455007887303946
13,1,1,1,32,0.46,60,-20,0.1,76.0922221901453,1.07647545868531,945153.837636839,945154.037769411,945154.928335706,945153.837636839,945154.037769411,945154.928335706,945153.837698416,945154.037821027,945154.928394869,0.000547666102647781,-5.11470716446638e-05,0.880082858493552,0,0,0,12312019,20-Feb-2020 14:21:24,0.455007887303946
13,1,1,1,33,0.32,95,-20,0.1,-86.1214754971523,1.20749496144708,945155.248509849,945155.448630045,945156.469290073,945155.248509849,945155.448630045,945156.469290073,945155.248569011,945155.448682567,945156.469351348,0.000179718714207411,-6.35229516774416e-05,1.01017659157515,0,0,0,12312019,20-Feb-2020 14:21:24,0.315007887303946
13,1,1,1,34,0.44,124,-20,0.1,-57.7890722763263,3.41833500913344,945156.909585474,945157.109704161,945160.341800086,945156.909585474,945157.109704161,945160.341800086,945156.909648561,945157.109785358,945160.341893056,0.000490272650495172,-6.5032159909606e-05,3.22161248850171,0,0,0,12312019,20-Feb-2020 14:21:24,0.435007887303946
13,1,1,1,35,0.48,65,-20,0.1,-109.025606037569,1.82971935032401,945160.822101899,945161.022192212,945162.663289987,945160.822101899,945161.022192212,945162.663289987,945160.822167702,945161.022246544,945162.663354583,0.000559782260097563,-9.3405949883163e-05,1.6306143385591,0,0,0,12312019,20-Feb-2020 14:21:24,0.475007887303946
13,1,1,1,36,0.36,174,-20,0.1,13.8075190162013,1.10025237570517,945163.023482615,945163.223598887,945164.134149069,945163.023482615,945163.223598887,945164.134149069,945163.023546908,945163.223651408,945164.134207326,0.000261302338913083,-6.74469629302621e-05,0.900066745933145,0,0,0,12312019,20-Feb-2020 14:21:24,0.355007887303946
13,1,1,1,37,0.4,53,-20,0.1,67.7703789087622,1.25523262110073,945164.534441983,945164.734563387,945165.805281083,945164.534441983,945164.734563387,945165.805281083,945164.534504164,945164.73461621,945165.805344773,0.000424686935730278,-6.23156083747745e-05,1.06023425981402,0,0,0,12312019,20-Feb-2020 14:21:24,0.395007887303946
13,1,1,1,38,0.48,109,-20,0.1,-57.3807569288072,1.74995072325692,945166.285587423,945166.485709128,945168.046718317,945166.285587423,945166.485709128,945168.046718317,945166.285647491,945166.48576648,945168.046780498,0.000564310001209378,-6.20136270299554e-05,1.5505257518962,0,0,0,12312019,20-Feb-2020 14:21:24,0.475007887303946
