trial,file,orientation,response,separations,error
7,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-16,-13,82,-3
8,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,85,78,-79,7
9,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-84,-81,11,-3
10,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-39,-39,45,0
11,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-35,-33,4,-2
12,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,75,73,-70,2
13,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,2,13,-73,-11
14,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-40,-38,-42,-2
15,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-63,-57,-23,-6
16,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-16,-23,47,7
17,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,81,76,-83,5
18,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-33,-20,66,-13
19,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-77,-75,-44,-2
20,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,49,47,-54,2
21,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,39,43,-10,-4
22,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,52,48,13,4
23,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,16,23,-36,-7
24,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-40,-38,-56,-2
25,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,81,78,-59,3
26,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,12,16,-69,-4
27,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-14,-11,-26,-3
28,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,65,72,79,-7
29,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-2,3,-67,-5
30,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,22,24,24,-2
31,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,66,70,44,-4
32,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,20,35,-46,-15
33,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,7,17,-13,-10
34,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-70,-64,-77,-6
35,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,49,58,-61,-9
36,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-87,-87,44,0
37,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,63,71,-30,-8
38,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,-5,-4,-68,-1
39,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,53,65,58,-12
40,C:\Users\admin\Box\desktop\deidentified\S1_left_3.txt,43,51,-10,-8
