nStim;nBlock;nTrial;inducer;target;resp;rt;bar_start;t1;t2;ISI1;ISI2;block;delta_targ;delta_ind;obs;error;errorc;error_out_after;error_removed;block_start_index;rtc;outsubj
2;8;240;172;94;102;1.24131640000269;2;0.249969948548824;0.249963063048199;2.00811814749613;2.00811461103149;8;-52;78;2;8;9.31358885017422;0;0;0;1.24131640000269;0
2;9;241;129;116;120;1.21684210002422;82;0.249986733309925;0.24997548526153;2.00810345518403;2.00810355157591;9;-22;13;2;4;NaN;0;0;1;1.21684210002422;0
2;9;242;153;176;170;1.49193709995598;179;0.249980966560543;0.249974370468408;2.00810766289942;2.00810784799978;9;-60;-23;2;-6;-4.68641114982578;0;0;0;1.49193709995598;0
2;9;243;26;86;83;1.82527039991692;148;0.249978114617988;0.249970181612298;2.0081086223945;2.00811498891562;9;90;-60;2;-3;-1.68641114982578;0;0;0;1.82527039991692;0
1;9;244;NaN;148;170;1.6988977000583;112;0.249970729462802;0;2.00811190740205;0;9;-62;NaN;2;22;23.3135888501742;0;0;0;1.6988977000583;0
2;9;245;101;134;144;1.07439109985717;26;0.24998280312866;0.249971040757373;2.00811027013697;2.00810889992863;9;14;-33;2;10;11.3135888501742;0;0;0;1.07439109985717;0
2;9;246;26;78;76;1.65033689979464;128;0.249980944208801;0.249973370227963;2.00811058143154;2.00811158888973;9;56;-52;2;-2;-0.686411149825784;0;0;0;1.65033689979464;0
2;9;247;161;7;33;1.88267870014533;75;0.249974421691149;0.249968940857798;2.00811514467932;2.00811644457281;9;71;-26;2;26;27.3135888501742;0;0;0;1.88267870014533;0
1;9;248;NaN;95;112;1.05850729998201;134;0.249972600024194;0;2.00811486272141;0;9;-88;NaN;2;17;18.3135888501742;0;0;0;1.05850729998201;0
1;9;249;NaN;39;28;1.16528610000387;154;0.249978210777044;0;2.00810963683762;0;9;56;NaN;2;-11;-9.68641114982578;0;0;0;1.16528610000387;0
1;9;250;NaN;165;156;1.25810740003362;29;0.24996779859066;0;2.00811895192601;0;9;54;NaN;2;-9;-7.68641114982578;0;0;0;1.25810740003362;0
2;9;251;106;102;105;1.36570169986226;91;0.249980481108651;0.249976618681103;2.00810975930654;2.00810331478715;9;63;4;2;3;4.31358885017422;0;0;0;1.36570169986226;0
2;9;252;109;162;164;1.36676169978455;99;0.249981858767569;0.249968100106344;2.00810126308352;2.00811284407973;9;-60;-53;2;2;3.31358885017422;0;0;0;1.36676169978455;0
2;9;253;47;125;137;1.49104170012288;28;0.249991276534274;0.249969881493598;2.00811465200968;2.00811538496055;9;37;-78;2;12;13.3135888501742;0;0;0;1.49104170012288;0
2;9;254;62;151;148;0.783689100062475;174;0.249977077357471;0.249978918582201;2.00811053346843;2.00811076303944;9;-26;-89;2;-3;-1.68641114982578;0;0;0;0.783689100062475;0
1;9;255;NaN;45;36;1.04146190010943;26;0.249980907188728;0;2.00810692226514;0;9;-74;NaN;2;-9;-7.68641114982578;0;0;0;1.04146190010943;0
1;9;256;NaN;59;52;1.52366399997845;176;0.24996771896258;0;2.00811838451773;0;9;-14;NaN;2;-7;-5.68641114982578;0;0;0;1.52366399997845;0
1;9;257;NaN;18;38;1.66641549998894;111;0.249969181837514;0;2.00811328459531;0;9;41;NaN;2;20;21.3135888501742;0;0;0;1.66641549998894;0
2;9;258;170;97;109;1.42430229997262;130;0.249979270389304;0.249971788842231;2.00811144080944;2.00811217026785;9;-79;73;2;12;13.3135888501742;0;0;0;1.42430229997262;0
1;9;259;NaN;17;2;1.11565029993653;104;0.249976481078193;0;2.00811408902518;0;9;80;NaN;2;-15;-13.6864111498258;0;0;0;1.11565029993653;0
2;9;260;152;24;6;1.76587359979749;144;0.24997908109799;0.249969766708091;2.00811026664451;2.00811441475525;9;-7;-52;2;-18;-16.6864111498258;0;0;0;1.76587359979749;0
1;9;261;NaN;142;162;1.49140870012343;107;0.249973129481077;0;2.00811162567697;0;9;62;NaN;2;20;21.3135888501742;0;0;0;1.49140870012343;0
1;9;262;NaN;35;16;1.79986519995145;90;0.249979825923219;0;2.00810672948137;0;9;-73;NaN;2;-19;-17.6864111498258;0;0;0;1.79986519995145;0
1;9;263;NaN;91;100;1.09993330016732;92;0.249978588428348;0;2.0081072000321;0;9;-56;NaN;2;9;10.3135888501742;0;0;0;1.09993330016732;0
1;9;264;NaN;123;121;0.890252500073984;102;0.249980548396707;0;2.00810429942794;0;9;-32;NaN;2;-2;-0.686411149825784;0;0;0;0.890252500073984;0
