Participant No.,Stimulus Orientation,Participant Response,Noise Level (Concentration of von Mises)
11,98,97,4
11,70,83,0.5
11,166,156,4
11,14,28,4
11,64,50,4
11,20,24,0.5
11,168,170,4
11,122,118,4
11,179,21,4
11,72,63,4
11,50,56,0.5
11,164,141,0.5
11,57,63,0.5
11,164,175,4
11,157,153,0.5
11,20,16,4
11,87,88,4
11,68,54,0.5
11,41,17,4
11,47,49,4
11,62,45,4
11,70,41,0.5
11,138,131,0.5
11,172,156,0.5
11,75,72,4
11,12,30,4
11,65,88,0.5
11,93,65,0.5
11,163,160,0.5
11,70,56,0.5
11,139,134,4
11,87,135,0.5
11,120,121,4
11,160,153,4
11,56,53,4
11,25,38,4
11,150,146,4
11,18,22,0.5
11,97,76,4
11,28,30,4
11,171,168,0.5
11,152,165,4
11,84,57,4
11,64,34,0.5
11,137,143,0.5
11,144,147,4
11,138,128,0.5
11,19,26,4
11,53,47,4
11,12,46,0.5
11,46,57,4
11,42,54,0.5
11,73,70,4
11,59,50,4
11,93,97,4
11,32,52,4
11,112,121,4
11,5,164,0.5
11,105,108,0.5
11,12,4,4
11,54,37,0.5
11,100,106,0.5
11,98,117,4
11,123,76,0.5
11,37,42,4
11,23,27,4
11,101,125,0.5
11,85,68,4
11,98,113,4
11,65,61,0.5
11,40,16,0.5
11,84,47,4
11,85,59,4
11,12,12,4
11,175,175,0.5
11,50,29,4
11,105,66,0.5
11,41,49,4
11,153,168,0.5
11,108,114,4
11,144,127,4
11,179,179,4
11,18,15,0.5
11,26,24,4
11,153,136,0.5
11,116,114,0.5
11,86,84,4
11,120,121,4
11,45,35,0.5
11,111,116,0.5
11,90,104,4
11,88,86,4
11,82,69,4
11,170,164,4
11,133,147,4
11,78,47,4
11,152,169,4
11,154,148,0.5
11,109,119,0.5
11,179,171,4
11,114,115,0.5
11,124,147,0.5
11,150,171,0.5
11,23,34,4
11,179,11,4
11,180,162,0.5
11,58,39,4
11,73,77,0.5
11,37,31,4
11,14,23,4
11,175,151,4
11,180,175,0.5
11,26,176,0.5
11,145,168,0.5
11,5,7,0.5
11,159,151,0.5
11,87,71,4
11,144,156,0.5
11,168,157,0.5
11,180,166,4
11,135,122,0.5
11,25,22,0.5
11,95,102,0.5
11,47,45,0.5
11,106,97,4
11,15,30,4
11,2,167,0.5
11,26,7,0.5
11,92,68,0.5
11,71,62,0.5
11,79,176,4
11,138,141,4
11,128,143,0.5
11,137,101,0.5
11,138,146,0.5
11,37,42,4
11,79,50,0.5
11,100,98,4
11,18,15,0.5
11,122,132,4
11,117,122,4
11,152,137,4
11,59,41,0.5
11,146,141,4
11,91,85,4
11,138,147,4
11,69,53,0.5
11,55,71,0.5
11,61,41,0.5
11,131,125,0.5
11,19,37,0.5
11,139,133,0.5
11,114,133,0.5
11,79,62,0.5
11,67,70,0.5
11,123,131,4
11,26,52,0.5
11,125,118,4
11,49,54,4
11,46,58,0.5
11,36,29,4
11,87,91,4
11,117,123,4
11,38,36,0.5
11,57,34,0.5
11,171,29,0.5
11,127,111,0.5
11,157,137,0.5
11,162,154,0.5
11,19,43,0.5
11,28,41,4
11,88,70,0.5
11,111,103,0.5
11,122,124,0.5
11,176,147,0.5
11,124,146,0.5
11,82,81,4
11,109,63,0.5
11,163,175,0.5
11,155,158,4
11,19,12,4
11,64,62,0.5
11,126,123,0.5
11,29,68,0.5
12,91,99,0.5
12,136,129,4
12,76,75,4
12,179,177,0.5
12,70,71,4
12,164,171,4
12,131,134,4
12,105,76,0.5
12,89,85,4
12,9,15,0.5
12,143,141,4
12,17,3,0.5
12,64,60,4
12,87,85,0.5
12,56,89,4
12,102,93,0.5
12,177,0.25,4
12,169,179,0.5
12,2,178,0.5
12,54,58,0.5
12,31,44,4
12,70,86,0.5
12,153,3,0.5
12,166,175,0.5
12,129,109,0.5
12,23,29,4
12,142,161,0.5
12,13,172.75,0.5
12,89,81,0.5
12,49,90,4
12,26,178,0.5
12,180,6,4
12,148,7,4
12,45,18,4
12,6,7,4
12,71,101,0.5
12,16,92,0.5
12,11,7,4
12,14,4,0.5
12,7,1,0.5
12,168,1,0.5
12,136,161,4
12,3,171,0.5
12,172,99,4
12,136,152,4
12,88,89.75,4
12,50,65,4
12,74,62,4
12,46,16,0.5
12,9,17,4
12,118,121,4
12,5,179,0.5
12,168,3,0.5
12,98,95.75,0.5
12,162,166,4
12,78,102,4
12,84,82,0.5
12,86,98,0.5
12,162,0,0.5
12,32,176,0.5
12,98,115,4
12,92,89,4
12,135,107,0.5
12,143,166,0.5
12,88,86,4
12,174,177,4
12,96,93.5,0.5
12,160,163,4
12,112,106,4
12,70,67,4
12,4,6,4
12,130,124,0.5
12,147,129,4
12,126,140,4
12,106,90,0.5
12,14,26,0.5
12,125,120,4
12,126,80,0.5
12,32,120,4
12,164,128,4
12,60,54,4
12,149,149,4
12,80,91,0.5
12,39,33,0.5
12,174,55,0.5
12,77,65,0.5
12,145,176,0.5
12,151,146,4
12,120,76,0.5
12,117,119,4
12,103,100,4
12,144,130.5,4
12,110,140.25,0.5
12,161,3,0.5
12,132,58,0.5
12,110,96.5,4
12,137,80,0.5
12,60,77,0.5
12,31,37,4
12,105,93,0.5
12,107,115.25,4
12,82,40,0.5
12,174,164,0.5
12,69,63,4
12,80,77,0.5
12,72,77,0.5
12,172,177,4
12,23,26,0.5
12,138,146,4
12,133,153,4
12,137,75,4
12,175,164.5,0.5
12,106,89,0.5
12,168,36,0.5
12,92,103,0.5
12,72,86,0.5
12,50,46,0.5
12,122,75,0.5
12,99,89,0.5
12,92,74,0.5
12,72,81.25,4
12,40,54,4
12,64,102,0.5
12,37,40,0.5
12,6,0,4
12,169,178,0.5
12,71,92,0.5
12,150,156,0.5
12,6,161,0.5
12,8,179,4
12,17,14,0.5
12,107,113,4
12,114,84,0.5
12,125,129,4
12,10,0,0.5
12,173,179,0.5
12,34,37,0.5
12,15,7,0.5
12,105,99,0.5
12,176,8,4
12,3,4,4
12,168,0,0.5
12,51,102,0.5
12,99,94,4
12,146,164,4
12,22,9,0.5
12,158,165,4
12,7,0,0.5
12,11,27,4
12,6,5,0.5
12,151,149,4
12,173,172.75,0.5
12,153,169.25,0.5
12,178,1,4
12,57,47,4
12,116,112.5,0.5
12,10,7,4
12,78,96.5,0.5
12,93,88.25,0.5
12,97,93.25,0.5
12,154,171,0.5
12,139,157.5,4
12,141,145,4
12,99,115,0.5
12,85,75,4
12,16,28,4
12,77,83,4
12,61,51,4
12,121,113,0.5
12,170,176,0.5
12,15,0,0.5
12,82,102,0.5
12,85,92,0.5
12,40,43,4
12,150,168.75,0.5
12,89,91,4
12,63,63,4
12,74,86,4
12,33,27.75,0.5
12,130,144.5,0.5
12,157,169.75,0.5
12,125,153.25,4
12,160,172,4
12,130,152.25,4
12,3,172,4
12,63,68,4
12,36,143,0.5
12,172,176.25,4
12,38,177.5,0.5
12,39,136,4
12,46,48.5,4
12,52,49,4
12,144,123,0.5
12,149,99,0.5
12,9,0.5,0.5
12,82,80.5,0.5
12,153,167,0.5
12,102,109,4
12,45,38,4
12,169,171.75,0.5
12,5,11.75,0.5
12,63,96,4
12,135,117.5,4
12,70,74,4
12,65,69.5,4
12,129,123.5,4
12,84,85,4
12,14,2,0.5
12,25,21.5,4
12,55,92,0.5
12,125,147,4
12,111,92,4
12,100,104.25,4
12,105,107,0.5
12,137,107.75,0.5
12,48,84.25,0.5
12,16,11,0.5
12,70,69.25,4
12,98,55,0.5
12,156,156,0.5
12,71,77,0.5
12,45,166,0.5
12,174,165.75,0.5
12,139,147,4
12,133,157.75,0.5
12,172,174,0.5
12,177,169,0.5
12,177,170.25,4
12,19,174.25,0.5
12,123,101.5,0.5
12,111,111.5,4
12,30,6,0.5
12,158,171.25,0.5
12,136,165,4
12,1,178,0.5
12,82,74,0.5
12,78,81,0.5
12,42,67,4
12,25,42.75,4
12,172,70,0.5
12,16,69,0.5
12,66,80,0.5
12,119,108,4
12,126,128.5,4
12,15,15,0.5
12,123,138,4
12,19,17,4
12,64,79,0.5
12,7,6.25,4
12,123,119,4
12,4,9,0.5
12,175,76,0.5
12,26,6,0.5
12,96,75,0.5
12,94,101,4
12,158,165,4
12,163,167,0.5
12,36,14,0.5
12,118,145,0.5
12,42,28,0.5
12,47,45,4
12,16,35,4
12,169,148,4
12,89,103,4
12,10,10,4
12,101,106,0.5
12,74,75.5,4
12,66,55,0.5
12,86,81,0.5
12,85,74,4
12,136,103,0.5
12,100,114,4
12,84,107,0.5
12,178,176,4
12,144,144,4
12,166,163,4
12,5,173,0.5
12,167,179,0.5
12,1,167,4
12,35,6,4
12,1,170,4
12,126,149,4
12,92,107,0.5
12,37,50,0.5
12,160,160,4
12,99,7,4
12,82,65,4
12,48,69,4
12,103,82,0.5
12,144,142,4
12,108,103,4
12,100,106,0.5
12,97,104,4
12,61,73,0.5
12,28,11,4
12,131,148,4
12,156,155,0.5
12,123,138.5,0.5
12,45,39.25,0.5
12,175,168,0.5
12,142,160,4
12,41,27,4
12,173,179,4
12,117,125,0.5
12,33,36,4
12,170,175,4
12,120,159,0.5
12,164,140,0.5
12,114,110,4
12,156,165,0.5
12,149,158,4
12,144,153,0.5
12,142,150,4
12,146,130,0.5
12,99,76,4
12,21,41,4
12,2,1,0.5
12,86,90,0.5
12,4,0,0.5
12,102,104,4
12,28,32,4
12,37,39,0.5
12,103,109,4
12,99,109,0.5
12,19,16,0.5
12,88,90,4
12,30,165,0.5
12,138,157,4
12,75,97,0.5
12,131,121,0.5
12,94,113,4
12,173,178,0.5
12,37,13,0.5
12,24,0,0.5
12,123,153,0.5
12,91,50,0.5
12,27,19,4
12,31,31,4
12,52,48,4
12,38,30,0.5
12,37,39.25,4
12,127,167.75,0.5
12,41,20,4
12,30,20.75,4
12,124,154,0.5
12,7,13.75,4
12,180,177.75,0.5
12,76,87,0.5
12,138,147,4
12,116,116,4
12,16,25,4
12,165,167.25,4
12,87,93,4
12,131,131,4
12,87,89,4
12,49,65,0.5
12,25,25.5,0.5
12,53,20,0.5
12,106,106.25,4
12,94,98,4
12,167,170,4
12,10,177,4
12,53,12,0.5
12,32,39,4
12,43,28,0.5
12,14,16,4
12,173,4,0.5
12,138,158,4
12,42,32,0.5
12,116,155,0.5
12,130,147,4
12,23,35,0.5
12,167,161,4
12,138,96,0.5
12,15,4,0.5
12,150,161,4
12,61,34,0.5
12,117,141,4
12,56,59,4
12,58,47,4
12,151,164,0.5
12,19,19,4
12,3,173.75,4
12,39,15,0.5
12,116,115,4
12,175,8,0.5
12,21,19.75,4
12,158,162,4
12,116,82.25,0.5
12,136,128,4
12,134,111.75,0.5
12,99,103.75,4
12,7,0,0.5
12,103,111,4
12,163,164.5,4
12,179,1,4
12,131,148.5,4
12,108,128,0.5
12,143,146,4
12,90,80,0.5
12,154,157,4
12,15,15,0.5
12,7,17,0.5
12,160,174,0.5
12,119,126,4
12,160,33,0.5
12,39,50,0.5
12,62,65,4
12,89,80.5,4
12,136,139,0.5
12,62,66,0.5
12,129,138,4
12,153,173,4
12,147,159,0.5
12,123,119,0.5
12,4,172,0.5
12,88,99,4
12,38,45,4
12,53,35,4
12,112,103,0.5
12,111,111,4
12,50,45,0.5
12,58,46,4
12,116,125.25,0.5
12,159,171.25,0.5
12,36,21,4
12,168,156,0.5
12,48,37,0.5
12,146,155.25,4
12,129,154,4
12,100,97,4
12,65,73,0.5
12,65,58.75,4
12,22,18,4
12,156,74,0.5
12,167,165.25,4
12,177,176,0.5
12,30,23,4
12,72,82.5,0.5
12,151,172,0.5
12,109,104.25,0.5
12,119,122,4
12,124,121.75,4
12,100,107,0.5
12,150,144.5,4
12,137,119.75,4
12,166,163,4
12,5,12.25,4
12,113,104,0.5
12,115,108,0.5
12,80,97,0.5
12,48,68,0.5
12,99,86.75,4
12,18,33.5,4
12,90,87,4
12,142,156,0.5
12,103,96,4
12,32,40,0.5
12,154,173,0.5
12,81,75,4
12,81,82.25,0.5
12,46,78,0.5
12,174,40,0.5
12,61,75,0.5
12,68,77,0.5
12,33,43,0.5
12,43,50.75,0.5
12,148,156,0.5
12,44,17,0.5
12,175,174.5,4
12,105,99.5,4
12,36,70,4
12,156,148,4
12,139,167.5,0.5
12,74,67.75,4
12,77,82,0.5
12,7,3,0.5
12,102,91,0.5
12,104,90,4
12,78,76.5,4
12,180,0,4
12,4,12,0.5
12,150,174,0.5
12,110,122.25,4
12,32,21,0.5
12,113,131,4
12,114,128.25,0.5
12,128,10,0.5
12,3,9,0.5
12,93,87.5,4
12,100,98.5,0.5
12,170,167.5,4
12,166,170,0.5
12,45,97,0.5
12,124,134.25,0.5
12,152,7,0.5
12,131,121,0.5
12,152,169,0.5
12,131,143,4
12,87,82,4
12,162,178,0.5
12,89,93,0.5
12,131,140,4
12,67,65,4
12,57,71,4
12,66,61,0.5
12,102,115,4
12,153,137,0.5
12,72,63,4
12,117,125.5,4
12,78,78,4
12,87,86,0.5
12,134,129,4
12,81,78.75,4
12,10,12.75,4
12,176,177,0.5
12,25,2,0.5
12,40,10,4
12,133,163,0.5
12,151,169,4
12,32,11,0.5
12,44,31.75,4
12,93,96.75,4
12,135,113,0.5
12,146,168,4
12,56,72,4
12,123,108,4
12,66,76,4
12,22,33,4
12,63,65,0.5
12,116,102.5,0.5
12,82,86,0.5
12,76,79,0.5
12,29,8.25,0.5
12,147,162,4
12,108,115.25,4
12,114,127,4
12,137,133.5,0.5
12,138,138,4
12,105,108,4
12,175,177,4
12,163,173,4
12,88,89,4
12,164,177,4
12,53,72,0.5
12,1,175,4
12,176,179,4
12,57,35.75,4
12,163,154,4
12,21,20.75,4
12,48,38,4
12,9,25,0.5
12,107,121.5,4
12,31,42.25,4
12,75,101,4
12,42,62,4
12,142,168,0.5
12,161,162,4
12,117,113.75,0.5
12,179,4.5,4
12,99,106,4
12,39,88,0.5
12,34,82.5,0.5
12,85,99,0.5
12,81,92,0.5
12,165,159,4
12,55,82.5,0.5
12,126,75.75,0.5
12,96,92,4
12,94,90.5,4
12,21,15.75,4
12,96,99,4
12,65,86.5,0.5
12,95,86,0.5
12,107,100.75,4
12,103,110,4
12,2,0,4
12,45,21,4
12,66,37,4
12,83,64.5,4
12,130,134,4
12,108,105,4
12,24,176,0.5
12,125,82,0.5
12,84,86.25,4
12,166,173,0.5
12,79,84.25,0.5
12,2,175,0.5
12,125,87,0.5
12,178,177,0.5
12,136,172,0.5
12,165,170,0.5
12,120,82.5,0.5
12,3,43,4
12,48,50,4
12,65,56,0.5
12,88,88.25,4
12,152,163.25,4
12,153,171,0.5
12,37,42,4
12,18,14.5,0.5
12,92,101,0.5
12,34,49.5,4
12,169,177,0.5
12,5,172.75,4
12,64,43.75,4
12,160,162.5,0.5
12,118,109,0.5
12,90,91,0.5
12,32,16.75,0.5
12,167,175,0.5
12,134,146,4
12,8,167,0.5
12,59,54.5,0.5
12,119,140,0.5
12,58,39,4
12,105,132,4
12,167,175,0.5
12,10,5.25,0.5
12,175,179,0.5
12,48,58,0.5
12,141,170,4
12,137,154,4
12,98,108,0.5
12,27,24,4
12,50,100.75,0.5
12,171,0,4
12,136,156.5,4
12,133,98,0.5
12,124,137.75,0.5
12,30,29,4
12,37,19,0.5
12,30,23,4
12,149,162,0.5
12,73,91,0.5
12,179,0,0.5
12,133,163,4
12,76,68,4
12,176,177,0.5
12,25,2,0.5
12,19,4,0.5
12,145,155,0.5
12,156,166,4
12,100,103,4
12,95,96,4
12,164,97,0.5
12,131,135,4
12,69,63,4
12,14,5,4
12,160,157,4
12,104,178,0.5
12,106,108,4
12,24,15,0.5
12,172,175.25,4
12,106,114,4
12,52,80,0.5
12,81,87,4
12,110,107,0.5
12,169,173,4
12,19,4,0.5
12,82,98,0.5
12,121,141.5,4
12,175,1,0.5
12,76,93,0.5
12,75,90,4
12,39,51,4
12,172,178,4
12,167,9.25,0.5
12,36,24.25,0.5
12,66,33,0.5
12,18,18,4
12,43,33,4
12,132,146,4
12,87,90,4
12,109,99.25,0.5
12,49,47,4
12,135,149,4
12,135,150.5,0.5
12,141,154,0.5
12,166,176,0.5
12,149,143,4
12,160,169,0.5
12,41,33.75,4
12,19,25,4
12,28,22,0.5
12,58,27,0.5
12,55,34,0.5
12,117,162.5,4
12,131,136,4
12,87,92,4
12,169,0,0.5
12,47,25,0.5
12,52,38.75,4
12,36,6,0.5
12,89,106,0.5
12,102,109,0.5
12,126,118.25,0.5
12,173,2,4
12,61,40,4
12,50,35,0.5
12,146,166,4
12,40,20.75,4
12,73,81.5,4
12,37,89,0.5
12,56,69,0.5
12,100,81.5,4
12,140,143.25,4
12,169,157.25,0.5
12,54,70.5,0.5
12,62,64,4
12,104,116.75,4
12,133,117.5,4
12,94,117,0.5
12,147,146,4
12,71,96.25,0.5
12,113,115,0.5
12,119,118,4
12,77,83,0.5
12,68,85,4
12,110,83,0.5
12,62,71,4
12,24,16,0.5
12,128,141,4
12,118,147,4
12,165,179,0.5
12,113,132,4
12,38,30.25,0.5
12,143,152,4
12,167,165.25,4
12,29,28,0.5
12,46,32,0.5
12,179,173.5,4
12,75,65,4
12,16,177,0.5
12,71,103,0.5
12,9,2,0.5
12,155,165,0.5
12,143,18,0.5
12,23,22,0.5
12,149,164.75,4
12,53,31,4
12,54,29,4
12,65,47,4
12,149,153,0.5
12,68,66,4
12,129,135,4
12,179,0.25,4
12,159,175,0.5
12,173,1,0.5
12,44,89,0.5
12,32,173,0.5
12,167,174.5,4
12,71,48,0.5
12,81,79,4
12,178,18,0.5
12,2,11,0.5
12,84,8,0.5
12,166,178.25,0.5
12,53,32.25,4
12,123,103,0.5
12,1,13.5,4
12,80,76,4
12,35,34,0.5
12,109,92,0.5
12,28,10,0.5
12,61,63,4
12,131,136.25,0.5
12,79,95.25,0.5
12,158,159,4
12,134,157.5,0.5
12,52,36,4
12,136,151,4
12,116,155,4
12,180,174.5,4
12,63,72.75,0.5
12,6,177,0.5
12,173,173.75,4
12,131,138.25,0.5
12,110,126,4
12,104,109,4
12,160,176,4
12,158,165,4
12,130,149,4
12,131,133,4
12,176,169,4
12,167,171,4
12,103,86.25,4
12,55,26.5,0.5
12,18,30,4
12,73,71,4
12,81,77,4
12,134,146,4
12,5,169.75,0.5
12,168,0,0.5
12,44,88,0.5
12,72,79,4
12,46,65.75,4
12,38,54,0.5
12,31,11.25,0.5
12,9,11,4
12,171,172.25,0.5
12,101,94.75,0.5
12,154,159,4
12,177,3,0.5
12,90,84,0.5
12,148,159,0.5
12,20,18,0.5
12,124,63,4
12,5,14,4
12,104,123,0.5
12,57,74.5,0.5
12,143,120,4
12,140,156,4
12,132,145,4
12,171,165,0.5
12,24,23,4
12,94,75,4
12,18,8,0.5
12,63,56,4
12,117,137,4
12,123,124,0.5
13,178,149,0.5
13,37,110,0.5
13,78,140,0.5
13,19,170,4
13,22,95,4
13,47,32,0.5
13,29,129,4
13,162,46,0.5
13,164,49,0.5
13,95,4,4
13,140,172,0.5
13,141,20,4
13,38,78,0.5
13,161,137,4
13,17,111,4
13,125,54,0.5
13,8,104,4
13,5,43,4
13,173,24,4
13,29,45,4
13,112,27,0.5
13,17,41,4
13,142,47,4
13,23,118,4
13,53,152,4
13,91,174,4
13,177,175,0.5
13,95,174,4
13,105,2,0.5
13,155,14,0.5
13,24,107,0.5
13,145,64,0.5
13,121,89,4
13,92,2,0.5
13,102,171,4
13,10,123,0.5
13,28,66,0.5
13,79,98,0.5
13,6,144,0.5
13,170,57,0.5
13,176,96,4
13,70,167,0.5
13,77,174,4
13,4,60,0.5
13,149,52,4
13,131,44,4
13,160,29,0.5
13,173,84,4
13,45,85,0.5
13,40,80,4
13,50,3,0.5
13,35,164,4
13,24,105,4
13,15,116,0.5
13,9,128,0.5
13,77,2,4
13,23,89,0.5
13,13,90,0.5
13,173,67,4
13,7,77,0.5
13,157,61,0.5
13,172,52,4
13,47,6,0.5
13,113,57,4
13,45,152,4
13,180,114,4
13,122,7,4
13,75,41,0.5
13,9,78,4
13,122,23,0.5
13,23,41,4
13,31,65,4
13,111,0,4
13,137,42,0.5
13,3,105,0.5
13,105,12,4
13,174,79,0.5
13,25,135,0.5
13,121,69,0.5
13,57,8,0.5
13,140,45,0.5
13,178,81,0.5
13,69,164,4
13,19,56,4
13,162,69,4
13,49,147,4
13,126,42,4
13,113,178,0.5
13,94,43,4
13,143,28,4
13,131,41,4
13,38,148,0.5
13,95,43,0.5
13,17,87,0.5
13,20,84,4
13,75,16,4
13,26,98,4
13,78,178,4
13,179,69,4
13,28,126,4
13,30,59,0.5
13,107,47,0.5
13,179,75,0.5
13,64,51,4
13,143,158,0.5
13,173,50,0.5
13,117,24,4
13,127,25,4
13,129,33,4
13,6,78,4
13,96,52,0.5
13,116,23,4
13,77,35,4
13,50,13,4
13,171,63,4
13,157,46,0.5
13,4,18,0.5
13,73,64,0.5
13,110,44,4
13,54,168,0.5
13,82,83,0.5
13,179,91,4
13,31,97,4
13,88,1,4
13,28,145,4
13,29,95,4
13,175,91,0.5
13,172,102,4
13,15,90,0.5
13,78,175,0.5
13,104,1,0.5
13,12,85,0.5
13,25,102,0.5
13,153,97,4
13,22,101,4
13,65,167,0.5
13,76,61,4
13,120,13,0.5
13,50,30,0.5
13,15,50,0.5
13,38,56,0.5
13,11,119,4
13,167,82,4
13,149,48,4
13,120,49,4
13,81,148,0.5
13,28,149,4
13,137,34,0.5
13,62,140,0.5
13,167,162,0.5
13,83,55,4
13,97,2,4
13,129,28,0.5
13,137,17,0.5
13,158,51,4
13,180,42,4
13,137,124,0.5
13,152,35,4
13,42,136,4
13,129,56,4
13,134,0,4
13,64,162,0.5
13,11,3,4
13,15,96,4
13,170,96,0.5
13,129,39,4
13,17,89,4
13,57,169,0.5
13,8,109,0.5
13,73,153,4
13,106,148,4
13,66,140,4
13,10,102,0.5
13,117,36,0.5
13,66,154,4
13,29,91,0.5
13,53,134,4
13,137,36,4
13,125,22,0.5
13,169,147,0.5
13,173,44,4
13,108,99,0.5
13,2,107,4
13,13,157,4
13,1,82,0.5
13,5,47,0.5
13,27,130,4
13,39,131,4
13,159,125,0.5
13,144,40,0.5
13,38,145,4
13,149,52,4
13,135,38,4
13,146,44,0.5
13,33,3,0.5
13,31,37,4
13,103,23,0.5
13,121,25,4
13,170,74,4
13,69,1,4
13,54,132,4
13,159,51,0.5
13,10,92,4
13,9,96,0.5
13,86,172,4
13,18,51,4
13,101,38,4
13,41,126,4
13,18,127,0.5
13,80,155,4
13,35,121,4
13,29,142,0.5
13,73,9,4
13,164,75,4
13,114,54,0.5
13,75,40,4
13,94,44,0.5
13,8,55,4
13,83,148,0.5
13,10,9,0.5
13,154,101,4
13,119,42,4
13,24,111,0.5
13,180,90,4
13,68,179.75,4
13,159,22,0.5
13,10,92,4
13,139,49,4
13,53,138,4
13,12,131,0.5
13,3,132,0.5
13,138,54,4
13,24,137,0.5
13,11,144,0.5
13,138,54,0.5
13,82,156,0.5
13,46,146,4
13,173,56,0.5
13,85,13,0.5
13,11,94,0.5
13,154,48,4
13,91,130,0.5
13,119,30,4
13,150,31,0.5
13,39,125,4
13,90,132,4
13,20,89.25,0.5
13,129,58.5,4
13,127,39,4
13,14,99,0.5
13,89,3,4
13,97,9,0.5
13,149,66,0.5
13,180,51,0.5
13,95,97,0.5
13,65,177,0.5
13,76,146,4
13,78,126,4
13,133,53,0.5
13,83,150,4
13,27,133,0.5
13,164,41,4
13,122,147.75,0.5
13,177,90,4
13,69,55,0.5
13,78,137,4
13,155,67,4
13,49,137,4
13,22,138,0.5
13,47,56,0.5
13,164,101,4
13,100,0,4
13,110,149,0.5
13,40,162,4
13,54,146,4
13,40,141,0.5
13,48,160,0.5
13,49,145,4
13,166,43,0.5
13,158,98,0.5
13,151,58,0.5
13,133,38,4
13,99,6,0.5
13,143,54,0.5
13,23,45,0.5
13,29,54,4
13,46,29,4
13,117,42,0.5
13,14,141,4
13,96,5,0.5
13,38,161,4
13,87,2,4
13,38,149,4
13,64,146,4
13,172,38,0.5
13,132,34,0.5
13,105,37,4
13,69,147,0.5
13,172,136,0.5
13,134,134,0.5
13,145,51,0.5
13,108,167,0.5
13,94,36,0.5
13,150,41,4
13,86,33,4
13,171,51,0.5
13,1,137,0.5
13,179,47,0.5
13,130,49,0.5
13,155,43,4
13,166,92,4
13,103,29,4
13,63,8,0.5
13,159,71,4
13,32,150,0.5
13,79,120,4
13,158,36,0.5
13,15,99,4
13,94,146,0.5
13,76,38,4
13,26,104,4
13,142,53,4
13,34,136,0.5
13,63,124,4
13,27,55,0.5
13,77,156,0.5
13,173,70,0.5
13,179,76,4
13,175,60,4
13,129,46,4
13,179,75,4
13,63,2,0.5
13,57,134,4
13,59,152,4
13,6,42,0.5
13,4,65,0.5
13,76,29,0.5
13,86,48,4
13,138,31,0.5
13,41,122,0.5
13,21,126,4
13,161,125,0.5
13,52,123,0.5
13,31,56,4
13,24,98,0.5
13,50,131,4
13,75,132,0.5
13,166,80,0.5
13,36,128,0.5
13,61,157,4
13,49,136,4
13,47,148,0.5
13,19,112,0.5
13,52,138,4
13,147,145,4
13,96,42,0.5
13,119,145,0.5
13,92,17,4
13,93,8,0.5
13,43,2,4
13,31,44,4
13,21,88,4
13,122,21,4
13,125,147,4
13,60,42,0.5
13,33,38,4
13,179,97,0.5
13,109,120,4
13,41,94,0.5
13,142,88,0.5
13,158,28,4
13,110,24,4
13,163,129,4
13,114,44,4
13,108,40,4
13,30,121,0.5
13,134,153,4
13,171,102,0.5
13,40,171,0.5
13,139,55,4
13,67,156,4
13,8,75,0.5
13,46,62,0.5
13,120,44,0.5
13,137,60,4
13,155,59,4
13,165,83,4
13,139,112,4
13,120,33,0.5
13,123,124,0.5
13,44,60,0.5
13,101,46,4
13,131,54,0.5
13,89,5,4
13,158,78,4
13,93,126,0.5
13,27,55,0.5
13,115,44,0.5
13,41,91,4
13,122,172,0.5
13,53,1,0.5
13,140,45,4
13,82,153,0.5
13,122,47,4
13,108,59,0.5
13,128,51,0.5
13,130,58,4
13,103,171,0.5
13,129,153,0.5
13,40,137,4
13,37,154,4
13,158,52,0.5
13,74,172,4
13,24,114,4
13,85,20,0.5
13,69,179,0.5
13,24,14,0.5
13,92,9,4
13,73,1,0.5
13,174,134,4
13,7,103,4
13,60,142,0.5
13,42,2,4
13,170,102,4
13,109,19,4
13,59,176,4
13,171,41,4
13,30,84,4
13,44,144,4
13,15,160,4
13,4,102,4
13,69,4,0.5
13,29,142,4
13,74,6,0.5
13,74,128,0.5
13,1,20,0.5
13,13,66,4
13,117,60,4
13,35,110,0.5
13,2,92.5,4
13,50,150,4
13,167,67,0.5
13,174,91,4
13,105,33,4
13,129,24,0.5
13,153,132,0.5
13,171,91,4
13,145,69,4
13,154,47,0.5
13,149,52,4
13,82,41,0.5
13,143,34,0.5
13,16,135,0.5
13,26,162,0.5
13,17,116,4
13,83,2,4
13,146,69,4
13,94,25,4
13,53,162,0.5
13,5,89.75,4
13,31,121,0.5
13,63,133,0.5
13,86,55,0.5
13,32,95,0.5
13,93,44,4
13,54,130,0.5
13,112,6,0.5
13,72,153,0.5
13,96,50,4
13,145,153,4
13,166,145,4
13,64,174,0.5
13,33,130,0.5
13,99,23,0.5
13,59,46,4
13,62,135,4
13,116,44,0.5
13,40,138,0.5
13,136,64,4
13,61,151,0.5
13,86,14,0.5
13,25,55,0.5
13,144,41,0.5
13,155,64,0.5
13,92,158,0.5
13,46,32,0.5
13,168,39,0.5
13,100,50,4
13,32,5,0.5
13,76,161,4
13,146,44,4
13,10,136,4
13,127,127,0.5
13,177,132,0.5
13,52,159,0.5
13,13,116,4
13,125,50,4
13,179,105,4
13,86,126,0.5
13,161,76,4
13,81,22,4
13,28,81,4
13,46,136,0.5
13,70,140,4
13,104,44,4
13,52,149,0.5
